"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"BAX",984,1750,1468,1542,231,564,420,146
"BBS1",1180,1509,1162,1250,104,268,173,73
"BBS2",2314,2943,2666,2761,275,727,807,255
"BBS4",1503,1675,1827,2106,68,146,94,21
"BCAT1",93,94,57,34,927,2604,2442,710
"BCAT2",770,1358,546,558,202,549,339,151
"BCHE",2876,3205,2136,2133,107,231,246,79
"BCKDHA",869,1232,1535,1535,96,202,283,116
"BCKDHB",1407,1504,1300,1461,64,206,180,79
"CCND1",13056,16176,23121,24228,3452,9253,8096,2585
"BCL2",172,238,99,121,100,279,147,50
"BCL2A1",0,0,0,0,179,458,794,302
"BCL2L1",2812,4319,4913,5457,1182,3281,3590,1360
"BCL2L2",2765,3609,2610,2885,147,413,402,140
"BCL3",252,359,1639,1663,98,279,183,83
"BCL6",2313,3435,5871,5939,216,614,910,269
"BCL7A",783,1108,748,811,94,263,107,52
"NBEAP1",2179,2302,2948,3375,2,7,8,1
"BCL9",2172,3008,2444,2809,397,1063,1060,434
"TNFRSF17",5,1,0,2,0,1,2,1
"HCN2",68,114,135,155,11,10,7,7
"OPN1SW",11,8,4,7,2,8,12,5
"BCR",1419,2365,1894,2131,412,993,965,347
"BCS1L",1328,1624,885,1181,284,736,448,207
"BCYRN1",65,180,35,35,388,1093,292,178
"BDH1",3733,4353,2391,2863,123,351,131,42
"BDKRB1",1,12,4,5,41,109,33,12
"BDKRB2",34,43,24,13,13,54,19,3
"BDNF",8,12,4,7,40,107,58,15
"CFB",139,129,108,125,15,40,38,13
"BFSP1",65,75,175,216,42,123,83,14
"BGLAP",25,49,9,15,12,26,14,6
"BGN",0,10,0,0,0,0,1,0
"CEACAM1",163,207,121,138,97,294,168,74
"BHMT",10,13,7,7,0,2,0,0
"BICD1",2020,2274,1313,1522,80,239,210,87
"BID",301,467,308,300,145,336,378,117
"BIK",104,199,104,126,21,55,115,31
"PRDM1",35,39,56,52,17,50,168,63
"BLK",1,0,0,0,0,1,1,1
"BLM",485,489,297,390,321,953,702,258
"BLMH",2208,2699,1622,1918,52,109,70,22
"CXCR5",282,440,316,336,22,79,48,19
"BLVRA",1122,1746,950,1080,264,663,646,203
"BLVRB",4445,5286,3341,3998,230,602,478,169
"BNC1",0,0,0,0,69,154,138,54
"BMI1",1358,1383,1391,1658,769,2111,2424,786
"BMP1",264,276,261,385,198,482,445,173
"BMP2",1,1,0,1,79,212,224,66
"BMP3",0,0,0,0,0,5,2,4
"BMP4",19,37,31,27,218,710,72,29
"BMP5",0,2,0,0,1,3,5,3
"BMP6",335,507,224,270,142,351,373,131
"BMP7",2,5,12,7,216,576,310,131
"BMP8B",82,131,54,54,38,84,70,28
"BMPR1A",956,1005,1690,2065,387,1094,1264,354
"BMPR1B",391,387,424,566,106,282,151,32
"BMPR2",6270,6321,6554,7543,524,1544,2336,728
"BMX",102,110,184,229,0,0,3,0
"POLR3D",1649,2114,1399,1568,195,475,322,82
"BNIP1",399,547,280,349,82,192,107,38
"BNIP2",3766,4020,4902,5583,408,1324,1683,521
"BNIP3",8434,9490,33485,34818,361,1033,6725,2319
"BNIP3L",12244,12496,49429,53800,501,1374,7496,2270
"BOK",581,870,832,803,460,1092,886,358
"DST",751,800,750,787,2383,6829,12804,3651
"FOXL2",5,10,1,8,0,0,1,0
"BPGM",1210,1367,1053,1282,281,689,609,222
"BPHL",935,1432,737,831,137,298,243,95
"BPI",2,0,2,0,0,0,1,0
"BRCA1",3380,3503,2029,2443,321,874,645,250
"BRAF",2256,2547,2723,3090,392,1127,1272,375
"BRCA2",1675,1436,1983,2435,2203,5915,5877,1992
"BRDT",62,76,310,381,0,0,0,0
"ZFP36L1",2861,3666,6928,6700,956,2793,3491,1165
"ZFP36L2",1641,1841,1806,1980,168,421,484,163
"BRS3",2,3,0,0,1,0,0,0
"BSG",9558,13244,11285,13227,1170,2984,2588,960
"BST1",6,2,2,4,4,13,26,6
"BST2",238,284,123,143,1,0,0,0
"BTC",24,23,8,8,34,109,42,18
"BTD",927,1156,693,762,108,353,306,99
"KLF9",4494,5101,3705,3800,73,162,202,92
"KLF5",531,660,973,1238,305,1153,2179,567
"BTF3",17057,22670,16022,17790,2619,7347,7525,2609
"BTF3P11",0,3,1,1,0,1,0,0
"BTG1",2349,3034,7567,8399,245,673,2157,795
"BTK",7,8,7,3,4,18,9,2
"BTN1A1",10,9,4,9,0,0,1,0
"BUB1",2493,2502,2092,2519,2068,5498,5803,1899
"BUB1B",3095,3497,3374,3530,323,905,972,272
"BYSL",539,863,494,679,189,403,261,82
"TSPO",381,1096,316,396,326,775,501,190
"C1QBP",11838,14260,8687,10738,1399,3528,3335,1013
"SERPING1",0,2,0,4,4,5,6,4
"ERC2-IT1",0,0,0,0,0,0,1,0
"C1R",262,372,577,578,90,282,198,74
"C1S",83,77,61,68,18,52,53,23
"C2",74,87,108,159,6,14,10,2
"C3",44,60,24,26,42,121,126,36
"C3AR1",3,4,1,2,2,14,7,2
"C4A",53,76,48,58,8,19,18,7
"C4B",53,79,49,67,8,18,15,7
"C4BPA",0,2,1,1,0,0,0,0
"C4BPB",1,1,0,0,0,1,0,0
"CAPN5",516,693,698,713,182,413,464,154
"C5",31,29,14,27,22,70,55,12
"C5AR1",6,6,4,4,5,20,13,6
"C6",1,5,1,4,0,0,0,0
"C7",0,0,0,0,0,0,0,1
"C8B",0,0,0,0,0,1,0,0
"C8G",35,81,71,68,0,5,2,1
