"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"OSGIN2",2382,2556,2213,2367,1086,2971,2128,706
"C9",0,0,1,2,0,0,1,1
"VPS51",989,1670,1152,1303,236,546,412,156
"MRPL49",5463,6499,4329,5459,847,2537,1725,624
"ZNHIT2",193,432,192,246,55,119,61,19
"MPPED2",0,0,0,0,2,9,1,1
"MYRF",197,262,181,184,170,467,470,171
"TMEM258",1038,1690,815,864,347,886,724,322
"DAGLA",369,530,344,443,258,580,370,149
"GAS8-AS1",29,13,26,44,2,3,4,2
"FMNL1",101,151,142,164,142,379,313,79
"LDLRAD4",47,58,305,426,15,49,43,6
"PTTG1IP",5555,6675,8254,9292,1086,3204,3128,992
"CFAP410",348,467,752,1026,14,40,52,15
"TMEM50B",2901,3417,2564,2904,241,734,609,214
"MPPED1",0,0,0,0,1,0,1,0
"CA1",2,0,2,0,0,1,1,0
"CA2",0,0,3,4,180,480,526,187
"CA3",4,7,2,4,0,1,2,2
"CA4",108,129,175,191,18,36,49,11
"CA5A",2,3,0,0,0,3,0,0
"CA6",0,0,0,0,1,4,4,0
"CA7",2,5,6,2,1,7,5,4
"CA8",3,1,8,3,37,85,79,30
"CA9",6,9,104,119,4,10,664,231
"CA11",194,288,824,746,10,21,16,14
"CA12",2029,2250,2646,2920,1394,3502,6232,2192
"CACNA1A",1,3,1,0,11,38,61,13
"CACNA1B",9,32,28,38,0,0,0,0
"CACNA1C",5,13,21,32,7,8,7,4
"CACNA1D",382,426,348,358,13,16,15,5
"CACNA1E",2,9,10,12,2,10,1,0
"CACNA1F",2,3,0,1,2,0,0,0
"CACNA1S",8,7,16,8,10,17,5,5
"DDR1",3370,5013,4136,4451,610,1517,1204,463
"CACNA2D1",0,1,0,0,71,202,187,61
"CACNB1",113,118,151,159,33,73,60,14
"CACNB2",458,575,265,331,59,133,99,26
"CACNB3",758,1076,1046,1237,105,259,339,119
"CACNB4",39,23,25,21,9,27,90,24
"SLC25A20",439,670,294,388,44,116,77,22
"CAD",1952,2402,1757,2294,564,1279,1157,395
"CALB1",0,0,0,1,4,36,411,83
"CALB2",1,3,2,6,236,545,559,153
"S100G",0,0,0,0,1,3,1,0
"CALCA",0,0,0,3,0,0,0,0
"CALCB",0,4,1,0,0,0,1,0
"CALCR",0,0,1,1,0,1,0,0
"CALD1",21131,22047,12156,13619,563,1681,1770,573
"CALM1",10062,11439,14165,16394,9152,25022,30434,10506
"CALM2",9037,9710,6465,7382,2494,7685,6855,2760
"CALM3",11921,15946,11812,13679,1952,5117,4814,1821
"CALML3",1,3,0,0,0,0,0,0
"CALR",74291,98356,51894,60865,15369,40036,35427,12986
"CALU",15180,15762,13697,15484,812,2182,2865,804
"CAMK4",205,186,491,517,173,520,604,210
"CAMK2A",0,3,0,2,7,17,11,3
"CAMK2B",888,1456,852,879,8,19,7,3
"CAMK2D",1623,1719,3457,4006,169,449,354,134
"CAMK2G",1315,1708,1853,1990,797,2010,1883,665
"CAMLG",1101,1402,1117,1350,92,286,314,91
"CAMP",0,0,0,1,0,0,0,0
"CANX",30079,31879,23361,27950,1248,3589,3957,1189
"CAPG",18,18,46,54,272,630,541,227
"CAPN1",2993,4283,4030,4739,973,2570,3467,1228
"CAPN2",3343,3489,4763,5832,4112,10007,11929,4223
"CAPN3",98,103,40,95,7,26,19,4
"CAPNS1",18372,23569,21216,24091,2892,7776,7398,2785
"CAPN6",6,16,44,68,2,10,8,4
"CAPS",140,279,125,128,24,35,35,9
"CAPZA1",9395,9032,7460,8780,1711,4864,5744,2061
"CAPZA2",5813,5972,5817,6701,697,2003,2534,837
"CAST",4616,5291,4454,5023,773,2318,2876,1060
"CAPZB",4669,5699,4415,4892,1159,3140,2952,1075
"CARS1",3309,4634,2600,2731,36,137,102,31
"CASP1",6,9,0,0,7,16,9,0
"CASP2",1845,2551,1901,2061,372,944,718,269
"CASP3",1784,1937,1658,1803,67,175,141,66
"CASP4",737,1037,320,451,374,989,732,249
"CASP5",1,3,0,0,0,1,1,1
"CASP6",612,776,415,493,110,331,255,86
"CASP7",1814,2172,1571,1884,238,649,502,195
"CASP8",598,672,574,706,198,475,373,120
"CASP9",243,322,189,195,137,315,248,100
"CASP10",66,74,46,54,4,4,1,3
"CASQ1",18,19,18,31,1,2,1,0
"CASQ2",0,1,1,2,0,0,1,0
"CASR",1,3,3,12,0,0,0,0
"CAT",4930,6553,2366,2702,697,1794,2107,699
"CAV1",1,2,6,9,996,2602,3994,1439
"CAV2",10,8,0,4,178,500,735,250
"CAV3",1,0,0,0,0,2,0,0
"RUNX2",380,397,1000,1213,231,675,505,156
"RUNX1",85,113,64,72,313,932,2483,748
"RUNX1T1",0,0,0,0,15,62,23,11
"CBFA2T3",19,29,26,39,0,1,0,0
"RUNX3",3,5,0,0,1,3,2,1
"CBFB",2344,2342,1716,1914,400,1131,1408,451
"SERPINA6",0,2,0,1,0,1,0,0
"CBL",766,946,1428,1651,351,974,1472,431
"CBLB",650,794,852,895,318,856,977,384
"CBLN1",0,0,0,0,8,19,27,11
"SERPINH1",0,3,1,1,1597,4063,3892,1378
"CBR1",1199,1543,1171,1419,312,753,664,209
"CBR3",202,263,116,123,43,150,58,25
"CBS",6383,8403,6015,7024,19,57,47,11
"CCIN",0,0,0,0,4,21,33,9
"KYAT1",149,205,163,179,28,83,46,11
"CCK",0,3,1,4,0,0,0,1
"CCKAR",1,0,0,0,0,0,0,0
"CCKBR",0,4,2,1,0,1,1,0
"KRIT1",2631,2782,2317,2694,372,1017,962,371
"CCNA2",3535,3671,2651,3021,1048,3046,2762,1008
"CCNB1",4754,4957,3458,4055,1248,3198,2948,986
"CCNC",2343,2500,1921,2107,232,576,884,268
"CCND2",1,4,8,6,294,775,658,219
"CCND3",1051,1502,1150,1319,202,527,292,100
"CCNE1",982,1237,1037,1231,75,197,183,55
"CCNF",1406,1668,1333,1470,389,983,793,258
"CCNG1",14289,11466,13170,14287,849,2297,3581,1037
"CCNG2",4068,3624,7478,7973,97,225,1147,381
"CCNH",5510,5514,4281,5221,935,2639,2475,833
"CCNT1",3737,3683,3594,4241,860,2445,2245,777
"CCNT2",3203,3207,3096,3677,582,1723,1909,610
"CCT6A",20361,22466,13684,16494,1588,4465,4150,1350
"CD1C",0,0,0,0,2,1,1,2
"CD1D",2,4,0,0,8,7,8,3
"CD1E",0,0,0,0,0,0,1,0
"CD3D",0,0,0,0,0,2,2,1
"CD3E",0,0,5,1,0,0,0,0
"CD3G",2,0,0,0,0,0,0,0
"CD247",0,0,0,0,1,0,1,0
"CD4",10,18,15,20,0,0,0,0
"CD5",2,8,4,1,2,5,1,1
"CD5L",0,0,0,0,0,0,0,1
"CD6",0,0,0,0,7,16,13,6
"CD7",18,28,52,51,2,4,1,1
"CD8A",8,1,1,2,6,18,8,3
"CD8B",0,0,0,0,1,0,0,0
"CD8B2",0,0,2,0,1,0,0,0
"CD9",30447,46098,43359,42770,705,1903,2716,853
"CD14",3,3,10,0,0,10,5,2
"MS4A1",0,0,1,0,0,0,0,0
"CD22",7,3,12,18,2,0,0,0
"CD27",222,306,293,310,0,4,2,1
"CD28",0,0,2,0,0,2,1,1
"CD80",3,2,6,4,3,7,4,3
"CD86",1,0,0,0,1,2,1,0
"TNFRSF8",13,30,15,10,1,1,2,0
"TNFSF8",4,2,0,0,3,6,6,1
"CD33",11,12,12,9,5,18,2,3
"SIGLEC6",0,0,0,1,0,2,0,1
"CD34",11,24,12,26,1,5,5,2
"CD36",11,7,0,0,0,0,0,1
"SCARB1",1905,2706,3358,3517,216,603,901,371
"SCARB2",12828,14352,12631,14088,929,2538,3124,1003
"CD37",113,114,242,256,3,6,3,1
"CD38",7,7,1,1,0,4,2,1
"ENTPD1",1561,1768,1420,1766,298,755,509,161
"ENTPD2",231,403,705,664,2,5,5,6
"ENTPD6",2408,3821,2133,2429,1165,2965,2436,958
"ENTPD3",136,170,66,47,73,188,272,81
"ENTPD5",4362,5069,2107,2192,282,772,575,206
"CD40",0,0,0,0,163,433,288,112
"CD40LG",0,0,0,0,2,0,0,0
"CD44",10,14,20,9,6266,18631,20292,6518
"CD47",2264,2527,2084,2243,1354,3724,3742,1365
"CD53",0,2,0,0,3,10,18,10
"CD58",321,392,290,322,436,1287,1554,449
"CD59",2296,3070,2302,2728,2000,5449,6539,2237
"CD63",3060,5411,3725,4352,1301,3238,3623,1258
"CD68",740,831,554,518,327,981,1081,411
"CD69",0,0,0,0,0,1,0,0
"CD70",2,9,2,6,97,290,211,70
"CD72",5,10,21,15,1,6,2,2
"CD74",112,139,98,118,12,30,19,6
"CD79A",3,5,1,3,6,11,8,4
"CD79B",0,0,0,0,1,0,0,1
"CD81",2939,6104,2826,3070,454,1144,1026,429
"ADGRE5",581,918,510,637,229,733,1367,469
"CD151",1815,3098,2282,2782,1641,3680,3309,1315
"CDA",4,8,7,4,184,557,1015,337
"CDK1",7094,6955,8529,9831,2509,6418,6490,2312
"CDK11B",4271,5640,5489,5968,61,115,84,30
"LRBA",12740,12891,12693,14952,913,2319,2429,853
"CDC5L",4089,4404,3226,3950,1302,3555,3480,1167
"SEPTIN7",5539,5531,6796,7539,924,2602,3631,1166
"CDC6",3708,3920,2437,2864,612,1597,1329,430
"CDC20",1875,2116,1542,1636,755,1945,1397,490
"CDC25A",1012,1145,868,1040,232,664,509,151
"CDC25B",1530,1894,1855,2143,623,1717,1371,545
"CDC25C",653,667,469,499,210,538,440,131
"CDC27",7163,7174,6330,7931,3664,10628,15133,4572
"CDC34",709,1282,1004,1288,286,574,409,152
"CDC42",4999,6170,4903,5617,481,1284,1336,431
"CDH1",31568,36849,31175,36557,59,167,290,100
"CDH2",0,0,0,0,920,2566,2561,826
"CDH3",6,9,4,5,37,109,85,37
"CDH4",34,29,19,14,22,85,108,36
"CDH5",2,0,3,2,0,0,2,0
"CDH6",3,6,7,6,358,1002,1335,403
"CDH7",7,30,8,4,25,90,159,56
"CDH8",13,5,9,19,22,63,65,23
"CDH9",0,0,0,0,0,0,1,0
"CDH10",1,0,0,0,2,4,3,1
"CDH11",0,0,1,0,698,2057,1779,469
"CDH12",51,69,56,64,7,20,16,7
"CDH13",47,39,48,89,1,27,5,3
"CDH15",44,59,42,40,5,12,11,3
"CDH16",0,0,2,1,0,0,0,0
"CDH17",1,0,0,0,1,0,0,0
"CDH18",0,5,3,10,0,3,0,0
"CDK2",2288,2584,1980,2317,545,1427,1353,462
"CDK3",225,282,226,275,12,37,30,10
"CDK4",2180,3221,1720,2128,682,1690,995,331
"CDK5",910,1515,970,1121,261,650,453,154
"CDK6",460,494,382,449,2205,6009,6571,2222
"CDK7",1568,1819,1143,1346,235,579,625,196
"CDK8",1333,1493,1478,1666,290,822,824,292
"CDK9",1405,1970,2070,2379,38,150,174,71
"CDKN1A",6712,10743,9702,10216,180,462,622,242
"CDKN1B",1504,1678,2034,2047,12,64,79,18
"CDKN1C",43,48,138,162,37,101,101,33
"CDKN2A",1238,1841,892,1096,1072,3129,2099,806
"CDKN2B",119,161,142,158,413,1142,1142,361
"CDKN2C",1270,1679,1496,1731,258,726,695,235
"CDKN2D",198,289,451,473,68,141,239,78
"CDKN3",3549,3560,2892,3149,1718,4727,4302,1512
"CDO1",1,0,5,4,0,0,0,1
"CDR1",1,0,0,0,142,348,239,55
"CDR2",735,888,552,612,80,251,189,57
"CDS1",1502,2039,1576,1751,51,115,112,41
"CDSN",55,77,62,83,2,16,5,1
"CD52",0,0,0,0,1,0,1,0
"CDX2",0,1,5,5,1,7,2,1
"CDX4",1,0,0,0,0,0,0,0
"CLGN",7219,7118,5622,6430,533,1529,2051,620
"CEACAM5",10,7,1,1,0,2,3,0
"CEBPA",343,516,334,327,79,173,80,26
"CEBPB",823,1195,556,568,287,622,613,248
"CEBPD",320,498,375,467,26,38,24,13
"CEBPE",0,0,0,0,1,2,0,2
"CEBPG",3254,4644,2940,3066,296,826,696,209
"CEL",346,431,186,215,8,24,15,6
"CELP",156,190,78,99,4,9,6,4
"CENPA",680,673,693,745,318,767,968,279
"CENPB",2605,3514,2884,3137,471,1157,740,271
"CENPC",662,672,956,1124,325,971,861,308
"CENPE",5036,4273,3036,3404,583,1730,2081,565
"CENPF",11422,11448,12075,13437,1480,4303,3780,1118
"CES1",4,4,1,2,32,54,74,23
"CETN1",1,0,0,0,0,0,0,0
"CETN2",2989,3571,2442,2822,551,1536,1625,520
"CETN3",2130,2327,1541,1661,281,715,696,250
"CETP",2,4,2,3,1,1,1,1
"CFL1",12772,16610,15279,18357,1097,2851,2638,930
"CFL2",1055,1156,939,1283,1100,3004,2571,932
"CTSC",464,611,275,346,392,1087,799,230
"CFTR",8,12,5,1,0,2,0,0
"CGA",0,2,0,0,0,0,0,0
"CGB3",0,0,1,1,0,3,2,1
"CEACAM3",1,0,0,1,1,1,1,2
"CEACAM8",0,1,1,0,0,0,1,1
"CHAD",1,8,16,11,10,10,9,3
"RCBTB2",150,228,79,147,69,142,123,42
"CHAT",0,3,1,0,1,0,0,0
"RCC1",3832,4731,2746,3256,170,441,301,88
"CHD1",3343,3293,3743,4329,435,1465,1502,401
"CHD2",6371,6926,8462,9026,204,612,725,188
"CHD3",23144,26676,33627,38757,668,1811,1610,482
"CHD4",8904,10520,11835,13964,1547,3979,4196,1267
"AKR1C4",0,0,1,3,1,5,7,3
"CHEK1",1805,2014,1489,1848,343,1010,921,279
"FOXN3",1845,2094,2269,2571,472,1365,1913,568
"CHGA",2,2,4,2,5,4,4,3
"CHGB",0,12,0,0,0,1,0,0
"CHI3L1",3,4,3,5,1,5,7,2
"CHI3L2",4,4,1,0,3,19,24,12
"CHIT1",0,0,0,1,0,0,0,0
"CHKA",1028,1175,948,1153,106,305,231,74
"CHKB",219,275,331,385,61,143,143,49
"CHM",1740,1815,1629,1887,297,862,958,331
"CHML",1711,1801,1818,2060,914,2560,3059,989
"CHN1",33,38,25,23,279,782,715,210
"CHN2",15,47,50,64,27,80,40,18
"CHRM1",17,37,13,19,0,0,0,0
"CHRM2",0,0,0,0,0,3,4,2
"LYST",819,858,1350,1646,177,417,668,217
"CHRM3",668,822,230,241,3,20,34,8
"CHRM4",9,21,52,55,156,387,237,117
"CHRM5",4,1,0,5,1,3,2,0
"CHRNA1",0,0,0,1,143,388,491,150
"CHRNA2",1196,2031,2175,2472,0,0,0,0
"CHRNA3",63,98,74,69,38,101,64,28
"CHRNA4",36,37,18,4,0,1,1,0
"CHRNA5",475,488,190,287,137,356,221,63
"CHRNA7",44,48,40,39,102,202,95,42
"CHRNB1",52,66,49,65,15,55,56,9
"CHRNB2",2273,2956,2144,2416,619,1644,1135,414
"CHRNB3",0,0,0,0,2,0,0,0
"CHRNB4",2,5,3,5,12,52,22,7
"CHRND",0,2,4,11,2,6,8,1
"CHRNE",72,132,92,106,11,32,33,11
"CHRNG",12,15,26,37,32,66,35,9
"CHUK",1081,1123,1232,1406,77,299,281,92
"CIDEA",5,0,1,2,0,0,0,0
"CKB",18136,26641,53954,56150,113,284,299,114
"CIRBP",5970,9191,6429,6976,90,279,229,98
"CISH",95,137,163,190,13,35,19,11
"TBCB",2226,3558,1730,1887,421,1073,814,287
"CKM",5,9,12,11,0,0,0,0
"CKMT1B",4990,7177,3403,4056,96,250,167,64
"CKMT2",78,87,93,87,21,69,40,10
"ERCC8",337,424,337,416,59,178,160,59
"CKS1B",1146,1213,955,1082,1080,2519,1967,696
"CKS2",3555,4397,3038,3374,999,2452,2041,712
"AP2M1",6603,10059,6652,7836,2641,6769,8337,2837
"AP1S1",5173,7289,4556,5041,235,472,443,161
"AP2S1",2098,2844,1684,2004,486,1255,1083,423
"AP3S1",4460,5157,6408,7133,872,2540,4044,1245
"CLCN1",11,9,3,4,3,5,2,1
"CLCN2",490,773,796,931,46,148,117,29
"CLCN3",12143,13057,15999,19274,743,2069,2236,692
"CLCN4",673,751,508,569,909,2280,2534,752
"CLCN5",941,909,488,513,159,469,319,110
"CLCN6",649,727,859,1121,52,196,162,56
"CLCN7",520,825,867,994,103,224,202,74
"CLCNKA",0,0,1,0,0,1,1,0
"CLCNKB",0,0,1,0,0,0,0,0
"CLU",365,497,1302,1586,2312,6651,5872,2114
"CLIC1",3955,6172,3136,3714,2344,5978,6139,2126
"CLIC2",63,71,40,58,0,0,0,1
"CLK1",4463,4882,11275,11400,519,1198,2552,807
"CLK2",3814,4510,4561,4915,287,768,651,303
"CLK2P1",32,43,41,43,8,25,22,12
"CLK3",2915,3649,4543,5057,166,487,880,268
"TPP1",6737,8623,4984,5024,1025,3081,3167,1290
"CLN3",442,714,400,518,165,404,274,85
"CLN5",1590,1716,1131,1369,139,343,414,133
"CLNS1A",10693,12370,10134,11460,1114,3164,3291,1025
"CLPTM1",153,217,210,241,629,1754,2259,878
"CLTA",6453,7921,5048,5832,878,2548,2266,827
"CLTB",1617,2697,1212,1411,310,861,649,211
"CLTC",22070,22758,17407,21533,7591,20046,22201,6848
"CMA1",5,8,5,7,0,1,1,1
"CCR1",0,1,0,0,11,43,20,3
"CCR3",0,0,0,0,0,0,1,0
"CCR4",18,27,0,0,0,2,1,0
"CCR5",0,1,0,0,0,0,1,0
"CCR6",3,2,2,1,0,0,0,0
"CCR7",5,15,16,8,0,3,3,0
"CCR8",0,1,2,1,0,0,0,0
"ACKR2",43,60,27,27,3,8,15,7
"CMKLR1",2,3,0,1,1,0,0,0
"LTB4R",638,666,636,758,21,87,73,14
"ABCC2",17,12,18,19,7,25,22,4
"CNGB1",3,4,2,1,2,2,0,1
"CNGA1",53,85,28,35,14,55,45,14
"CNGA4",23,21,13,21,1,2,4,2
"PLK3",216,267,188,201,44,134,65,23
"CNN1",0,0,0,1,4,18,7,5
"CNN2",594,701,1357,1417,234,644,477,181
"CNN3",2,1,6,1,5202,14604,14446,4567
"CNP",2616,4403,2506,2777,635,1557,1194,428
"CNR1",0,0,1,3,2,10,1,0
"CNR2",0,1,0,0,0,1,0,0
"CNTF",10,11,13,24,5,18,16,6
"CNTFR",5,8,69,80,11,33,71,17
"CNTN1",0,0,0,0,265,782,870,311
"COL1A1",935,1096,2270,2376,72,242,171,50
"COL1A2",0,0,0,0,0,0,1,0
"COL2A1",3,6,3,8,34,120,40,14
"COL3A1",23,18,42,43,1,3,11,1
"COL4A1",2,4,3,1,887,2284,2373,776
"COL4A2",50,78,48,42,1328,3352,4779,1708
"COL4A3",28,34,25,17,7,15,11,2
"COL4A4",34,30,14,26,10,32,35,14
"COL4A5",3074,3494,3929,4416,387,936,952,317
"COL4A6",84,86,269,304,111,264,266,76
"COL5A1",168,250,187,222,136,326,351,124
"COL5A2",193,212,352,390,116,341,211,33
"COL6A1",8458,11820,9633,9675,1167,2961,8308,2932
"COL6A2",1116,1582,1251,1357,1421,3261,5792,2158
"COL6A3",3,3,7,3,478,1470,2288,691
"COL7A1",1112,1816,2496,2442,83,169,287,78
"COL8A1",2,0,0,0,166,467,480,171
"COL8A2",4,5,0,0,5,12,12,2
"COL9A1",1,0,0,1,0,0,1,0
"COL9A2",260,342,165,171,5,15,14,7
"COL9A3",84,169,171,191,12,19,27,10
"COL10A1",8,10,21,17,9,31,38,12
"COL11A1",44,42,29,48,0,2,2,2
"COL11A2",71,74,115,117,7,19,19,8
"COL12A1",955,936,1104,1291,2402,6268,7462,2146
"COL13A1",23,59,206,167,282,823,748,234
"COL15A1",0,0,0,0,61,164,110,46
"COL16A1",123,434,151,159,37,81,50,35
"COL17A1",28,49,142,135,24,62,104,39
"COL19A1",1,1,1,1,2,13,5,6
"COMP",6,6,12,32,1,4,1,1
"COMT",2903,4738,3104,3691,162,436,417,125
"COPA",6415,7675,5388,6174,2601,6761,7106,2602
"COPB1",6529,7972,4659,5489,880,2263,2588,849
"KLF6",966,967,1100,1237,750,1901,4492,1652
"SLC31A1",3560,4334,2777,3054,115,394,329,121
"SLC31A2",131,121,125,165,58,146,135,44
"CORT",40,56,32,34,7,13,13,6
"MAP3K8",319,419,269,292,77,193,189,49
"COX4I1",5457,8732,5400,6206,69,255,165,52
"COX5B",2584,4499,2215,2524,1066,2567,2546,871
"COX6A1",5961,8009,4862,5974,1383,3854,3466,1353
"COX6A2",0,0,1,0,0,0,0,0
"COX6B1",4232,7088,3884,4666,971,2188,1684,607
"COX6C",4049,6902,3938,4499,999,2311,2684,870
"COX7A1",0,5,0,1,0,0,1,1
"COX7A2",3689,4959,2842,3118,729,1793,1936,696
"COX7B",7449,9854,6882,7624,1026,3035,3178,1027
"COX7C",7126,11019,5845,6633,1022,2567,2697,1009
"COX8A",1130,2532,934,1058,805,1689,1243,535
"COX10",912,1033,612,648,371,1063,629,251
"COX11",1923,2132,2132,2539,906,2488,2424,763
"COX15",1394,1733,1019,1326,262,750,783,319
"CP",337,359,255,317,18,54,60,23
"CPA1",0,0,0,0,0,0,1,0
"CPA2",0,0,0,0,0,0,1,1
"CPA3",6,6,3,2,1,3,2,2
"CPB1",0,0,0,0,0,0,1,0
"CPB2",5,4,7,5,2,5,7,1
"CPD",6901,7045,5687,6376,997,2774,2961,937
"CPE",2848,4731,2015,2299,278,655,588,225
"CLDN4",1378,2906,1658,2019,216,498,892,298
"CLDN3",2521,3284,3282,3773,114,350,371,110
"CLDN7",5382,6844,6119,6839,35,105,102,49
"CPM",472,503,363,417,375,1048,688,229
"CPN2",2,8,1,4,0,0,0,0
"CPOX",1210,1248,2054,2390,259,658,1208,401
"CPS1",2583,2646,2019,2218,235,621,489,162
"CPT1A",8704,11164,3385,4403,375,1067,807,253
"CPT1B",256,364,406,435,54,117,101,49
"CPT2",4192,5783,2421,2738,140,429,309,153
"CR1",0,2,1,0,0,1,3,1
"CR1L",0,0,0,0,0,1,2,0
"CR2",3,5,4,7,14,50,22,9
"CRABP1",4,2,1,0,155,545,206,68
"CRABP2",19,30,55,46,1524,3825,8661,2888
"CRAT",1255,1947,1749,1848,78,202,121,57
"CREB1",4608,5137,7750,8325,715,1877,2150,783
"ATF2",2174,2248,1891,2104,655,1881,2075,707
"CREBBP",3200,3977,4842,5583,409,1055,1387,431
"ATF6B",1535,2147,1125,1324,689,2023,1323,555
"CREBL2",3607,4273,3396,3996,139,363,341,126
"CREM",588,787,434,467,1020,2642,2824,903
"CRHBP",3,0,0,0,0,0,0,0
"CRHR1",1,1,7,6,0,0,3,1
"CRHR2",5,24,11,14,0,1,3,0
"CRIP1",25,44,28,51,125,212,213,101
"CRIP2",214,307,906,856,9,14,27,16
"CRK",2965,3678,2979,3440,204,592,735,214
"CRKL",3921,4184,5261,6118,810,2107,3744,1172
"CRMP1",196,262,199,214,75,201,322,127
"HAPLN1",0,0,0,0,1,1,1,0
"CRX",0,0,2,0,0,0,0,0
"CRY1",634,807,993,1184,218,442,705,219
"CRY2",403,683,694,819,131,309,246,77
"CRYAB",233,280,280,247,0,0,0,0
"CRYBA1",2,1,0,0,2,4,0,0
"CRYBA2",2,0,1,3,18,31,31,12
"CRYBA4",0,0,0,1,0,0,0,0
"CRYBB1",1,4,2,1,0,0,0,0
"CRYBB2",22,13,13,11,2,5,12,3
"CRYBB2P1",659,808,1740,2053,57,210,425,143
"CRYBB3",930,1278,1125,1264,62,137,123,46
"CRYGC",0,0,0,0,1,1,0,0
"CRYGS",30,30,21,25,13,44,17,8
"CRYM",58,78,38,44,0,0,1,0
"CRYZ",1483,1525,1324,1556,107,316,285,88
"CS",15360,19072,13163,15052,2083,5460,5347,1762
"MAPK14",1911,2150,2051,2365,694,1867,2057,735
"CSE1L",12955,13552,8929,10490,8655,23747,24071,7934
"CSF1",37,63,18,25,271,716,217,107
"CSF1R",13,8,6,8,9,43,26,14
"CSF2",0,0,0,0,61,190,130,51
"CSF2RA",1,2,0,1,11,23,12,7
"CSF2RB",19,16,8,23,0,0,0,0
"CSF3",0,0,0,1,16,44,14,10
"CSF3R",0,6,2,1,0,1,0,0
"CSH2",0,1,0,0,0,0,0,0
"CSK",1349,1979,1930,2194,119,286,305,114
"CSN1S1",0,2,0,0,0,0,0,0
"CSN2",0,0,0,0,0,0,1,0
"CSNK1A1",13675,15939,15474,17174,2949,8023,9884,3316
"CSNK1D",4706,6658,6225,7202,283,630,1220,394
"CSNK1E",1474,2070,1792,2117,272,710,697,261
"CSNK1G2",2897,4193,3983,4831,381,819,719,260
"CSNK1G3",2130,2448,2059,2543,549,1511,1556,491
"CSNK2A1",9247,11238,11444,12196,2519,7224,7573,2627
"CSNK2A2",888,933,760,871,142,363,349,112
"CSNK2B",4226,5890,5221,5900,509,1363,1022,341
"VCAN",1,0,4,0,521,1507,2033,634
"NCAN",1,1,1,1,0,2,2,0
"CSPG4",7,7,9,12,34,98,215,106
"CSRP1",3758,5182,3972,4773,157,480,342,117
"CSRP2",7,6,0,5,326,807,1195,408
"SLC25A10",1451,1887,1641,1995,183,425,301,121
"CST1",7,10,28,23,39,87,102,34
"CST2",1,0,0,0,79,206,133,70
"CST3",1995,3230,1814,2137,1164,2888,2570,980
"CST4",3,1,4,3,38,96,95,34
"CST5",0,0,0,0,3,15,7,6
"CST6",0,0,0,0,2,2,2,0
"CSTA",46,45,34,43,2,3,3,0
"CSTB",8070,9506,5796,6801,2100,5503,6913,2646
"CSTF1",2191,2571,2203,2802,694,1906,1849,681
"CSTF2",1618,2088,1212,1397,349,839,624,221
"CSTF3",3055,3283,1840,2238,25,99,95,33
"CTAG1B",0,1,1,0,0,0,0,0
"CTBS",2190,2128,2050,2143,126,342,261,99
"CTBP1",4746,6622,4338,5023,200,466,421,144
"CTBP2",3939,4680,3438,4016,110,314,372,117
"CTF1",4,9,5,2,19,60,37,23
"CCN2",0,2,13,17,173,580,369,112
"CTH",1235,1443,614,637,57,114,101,23
"CTNNA1",13255,15137,17024,19432,0,8,1,1
"CTNNA2",72,121,206,262,1,1,4,2
"CTNS",575,791,676,808,102,220,159,59
"CTNNB1",6270,7952,5460,6728,2425,6266,5999,1984
"CTNND1",6836,7317,6590,8117,428,1126,1053,350
"CTNND2",7,11,11,5,3,13,6,3
"CTPS1",1713,1965,1636,2028,351,819,947,274
"CTRB1",7,7,2,3,0,1,1,0
"CTRL",53,80,37,38,10,27,15,3
"CTSB",4017,5428,4314,4863,1265,3466,3352,1217
"CTSD",2830,4619,3131,3478,1087,2983,3239,1217
"CTSE",9,5,1,4,4,9,8,2
"CTSH",2935,4495,2446,2685,568,1424,1295,411
"CTSK",84,149,141,203,12,23,34,14
"CTSL",4151,5892,2811,3318,623,1549,1238,365
"CTSV",652,731,344,395,72,191,199,71
"CTSLP2",1,2,0,1,0,0,0,0
"CTSO",710,857,747,872,46,120,121,56
"CTSS",12,14,5,11,32,78,70,23
"CTSW",5,3,3,9,25,82,126,46
"CTSZ",5228,6665,4887,5542,1266,3487,3776,1355
"CUX1",3484,4438,3382,3866,387,1063,973,337
"CX3CR1",23,21,11,9,2,2,3,1
"CXADR",2647,2841,3224,3797,203,603,753,214
"CYB5A",4566,7203,6206,6634,251,604,461,142
"CYB561",4720,5091,4113,5065,823,2052,1550,543
"CYBA",1,3,0,1,1,2,0,0
"CYBB",1,3,2,2,7,11,12,2
"CYC1",2438,3468,2162,2332,1136,2842,2019,750
"CYLC1",2,6,0,0,0,0,0,0
"CYLD",1613,1766,1831,2037,171,448,489,142
"CYP1A1",47,68,525,497,74,171,22,2
"CYP1A2",3,4,15,13,2,7,0,0
"CYP1B1",0,0,2,0,579,1674,581,184
